trial,state,objective_neg_log_loss,best_so_far,datetime_start,datetime_complete,duration_seconds,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_lambda
20,COMPLETE,-0.28720732587631403,-0.28710342674210537,2026-08-09 20:48:05.032126,2026-08-09 20:49:11.484538,66.452412,1200,0.014849182925088458,5,1.9832560049764825,0.9545462725763872,0.6002822095881948,1.3689269716665569
21,COMPLETE,-0.2873137392111473,-0.28710342674210537,2026-08-09 20:49:11.492316,2026-08-09 20:50:18.929495,67.437179,1200,0.014573217905955945,5,1.9820348653570512,0.9970714222638276,0.6049023671174069,1.361819516134504
22,COMPLETE,-0.28743489689872914,-0.28710342674210537,2026-08-09 20:50:18.937121,2026-08-09 20:51:03.376916,44.439795,900,0.022591371120078522,4,1.132618525796763,0.9481171021489336,0.679865045528326,0.25197054625499515
23,PRUNED,-0.29293073404194814,-0.28710342674210537,2026-08-09 20:51:03.384063,2026-08-09 20:51:30.658764,27.274701,1200,0.036054076072457655,6,3.3561060258444515,0.9534560422137212,0.6380459900150156,1.011122233827195
24,COMPLETE,-0.28686327857323185,-0.28686327857323185,2026-08-09 20:51:30.665864,2026-08-09 20:52:37.596495,66.930631,1000,0.010008685323052486,5,2.105808375544311,0.8669343086842967,0.7309741473288918,0.08431980398780643
25,PRUNED,-0.28871794825773667,-0.28686327857323185,2026-08-09 20:52:37.603684,2026-08-09 20:52:58.019415,20.415731,1000,0.010608169900193873,3,4.595325998105471,0.8395606067323071,0.7367000926452868,0.08293192463852589
26,PRUNED,-0.28856662189635773,-0.28686327857323185,2026-08-09 20:52:58.034400,2026-08-09 20:53:06.143505,8.109105,300,0.021961339044347095,4,6.431576670545187,0.885769826491622,0.702471083474116,0.13504728487818093
27,COMPLETE,-0.28699011644841077,-0.28686327857323185,2026-08-09 20:53:06.150443,2026-08-09 20:53:52.805872,46.655429,700,0.013992446254539853,6,2.945726028389807,0.8021499003740785,0.7996037522585402,0.009419764524068445
28,COMPLETE,-0.286975414001737,-0.28686327857323185,2026-08-09 20:53:52.813757,2026-08-09 20:54:44.368232,51.554475,800,0.013960901507146338,6,3.0437329448207366,0.8050349940979478,0.8033426160080553,0.0013189728028275163
29,PRUNED,-0.2888818325947647,-0.28686327857323185,2026-08-09 20:54:44.376299,2026-08-09 20:55:21.228578,36.852279,800,0.013827957155210084,8,2.953634318088135,0.8094493884808908,0.791639531148827,0.0012785062939921223
30,COMPLETE,-0.28698633165588483,-0.28686327857323185,2026-08-09 20:55:21.236172,2026-08-09 20:56:13.025936,51.789764,700,0.010484032982955499,7,2.038817556645508,0.6721893317049088,0.8501092425167033,0.004069101804282367
31,PRUNED,-0.2879929091213423,-0.28686327857323185,2026-08-09 20:56:13.033689,2026-08-09 20:56:43.759042,30.725353,700,0.013363212808377075,7,2.130180336457865,0.6546829988271895,0.841014191059351,0.003376232122033663
32,RUNNING,,-0.28686327857323185,2026-08-09 20:56:43.766335,,,900,0.010097464711562957,8,1.4626635013599607,0.6771511237153722,0.8807609308824468,0.0036282966259517002
33,PRUNED,-0.2887087058915642,-0.28686327857323185,2026-08-09 21:42:06.356520,2026-08-09 21:42:35.363685,29.007165,900,0.010067355603065818,8,1.3286289698047251,0.6880226502358202,0.8932793377618083,0.002832289196479025
34,COMPLETE,-0.2870164096929722,-0.28686327857323185,2026-08-09 21:42:35.374285,2026-08-09 21:43:15.656998,40.282713,700,0.01288577123421827,6,2.318880791382,0.7424364893339975,0.8335848962700466,0.006518361887713443
35,PRUNED,-0.2892626274931583,-0.28686327857323185,2026-08-09 21:43:15.664325,2026-08-09 21:43:37.167233,21.502908,900,0.016805746164303473,7,1.5962567275058956,0.8052191297833575,0.9315167385246619,0.0024402266972514924
36,COMPLETE,-0.28692945320550206,-0.28686327857323185,2026-08-09 21:43:37.173877,2026-08-09 21:44:19.538084,42.364207,600,0.010709213923207507,8,3.0858444803277347,0.8543780165008386,0.7817408376330597,0.00996633969563879
37,COMPLETE,-0.28732544962744816,-0.28686327857323185,2026-08-09 21:44:19.544580,2026-08-09 21:45:07.413469,47.868889,600,0.010035201458888232,9,1.7684539434310451,0.854678371162756,0.7475975995129549,0.0011964888873395936
38,PRUNED,-0.29087327198290647,-0.28686327857323185,2026-08-09 21:45:07.420100,2026-08-09 21:45:38.025475,30.605375,1000,0.01207940375612319,9,3.1587026878914584,0.8287415038993774,0.8730658450183052,0.004914746769070139
39,PRUNED,-0.29617573259535745,-0.28686327857323185,2026-08-09 21:45:38.036801,2026-08-09 21:46:10.444896,32.408095,1100,0.020983974554700253,8,1.1214631695592767,0.8682003767445046,0.7840737058161316,0.0022430914691339687
40,PRUNED,-0.28867229332819444,-0.28686327857323185,2026-08-09 21:46:10.459518,2026-08-09 21:46:32.368856,21.909338,800,0.015518096199148053,7,1.3599864842658744,0.7686257202142588,0.8212464974500824,0.012593966891684315
41,PRUNED,-0.2917619905442177,-0.28686327857323185,2026-08-09 21:46:32.378639,2026-08-09 21:47:07.690556,35.311917,1100,0.01190954168932063,9,2.191018457817053,0.6570601432847848,0.939367774191936,0.004508225350368558
42,COMPLETE,-0.28679179175195724,-0.28679179175195724,2026-08-09 21:47:07.700413,2026-08-09 21:47:53.778553,46.07814,700,0.012879376156858092,6,2.972700753925454,0.7893469071539068,0.787776780384075,0.009702995304521818
43,PRUNED,-0.28807216450058815,-0.28679179175195724,2026-08-09 21:47:53.785696,2026-08-09 21:48:10.334042,16.548346,600,0.012432109984605906,7,2.7072367250814744,0.7035336573709206,0.7832301891199313,0.014746328736668505
44,PRUNED,-0.2906696806852088,-0.28679179175195724,2026-08-09 21:48:10.342061,2026-08-09 21:48:31.163282,20.821221,800,0.01867351893560712,8,4.315592608193172,0.8983222244891376,0.8603990488930295,0.0017499218429333663
